Total evidences in DB: 136

Id: 87 | Code: 3.04.3 | Name: 3.04.3 Primer informe trimestral durante el año escolar del proceso de implementación del Plan Escolar de Gestión Ambiental y de Riesgo | Val: 20.00
Id: 86 | Code: 3.04.4 | Name: 3.04.4 Plan Escolar de Gestión Ambiental y de Riesgo definido, actualizado por el Centro Educativo al inicio del año escolar e incorporando la detección de necesidades | Val: 20.00
Id: 85 | Code: 3.04.5 | Name: 3.04.5 Comité de Seguridad y Salud en el Trabajo | Val: 40.00
Id: 92 | Code: 3.05.1 | Name: 3.05.1 71% o más de cumplimiento de los estándares del Programa de Alimentación Escolar en el Centro Educativo | Val: 100.00
Id: 91 | Code: 3.05.2 | Name: 3.05.2 Entre el 60% al 70% de cumplimiento de los estándares del Programa de Alimentación Escolar en el Centro Educativo | Val: 70.00
Id: 90 | Code: 3.05.3 | Name: 3.05.3 Entre el 40% y el 60% de cumplimiento de los estándares del Programa de Alimentación Escolar en el Centro Educativo | Val: 50.00
Id: 98 | Code: 3.06.1 | Name: 3.06.1 Informe  de asistencia de los Docentes 8 o más docentes hasta 4 ausencias | Val: 100.00
Id: 97 | Code: 3.06.2 | Name: 3.06.2 Informe  de asistencia de los Docentes 7 docentes Hasta 2 ausencias | Val: 100.00
Id: 93 | Code: 3.06.3 | Name: 3.06.3 Informe  de asistencia de los Docentes 8 o más docentes de 4 a 7 ausencias | Val: 79.00
Id: 96 | Code: 3.06.4 | Name: 3.06.4 Informe  de asistencia de los Docentes 7 docentes de 2 a 4 ausencias | Val: 79.00
Id: 95 | Code: 3.06.5 | Name: 3.06.5 Informe  de asistencia de los Docentes  8 o mas docentes +  de 7 ausencias | Val: 59.00
Id: 94 | Code: 3.06.6 | Name: 3.06.6 Informe  de asistencia de los Docentes 7 docentes + de 4 ausencias | Val: 59.00
Id: 123 | Code: 4.01.1 | Name: 4.01.1 Puntuación vinculada a la mejora de la cultura y clima organizacional | Val: 100.00
Id: 124 | Code: 4.01.2 | Name: 4.01.2 Implementación de las acciones | Val: 70.00
Id: 125 | Code: 4.01.3 | Name: 4.01.3 Acciones de mejora | Val: 20.00
Id: 126 | Code: 4.01.4 | Name: 4.01.4 Informe de encuesta de clima | Val: 15.00
Id: 127 | Code: 4.01.5 | Name: 4.01.5 Capacitación | Val: 15.00
Id: 128 | Code: 4.02.1 | Name: 4.02.1 Puntuación vinculada a la mejora de la cultura y clima escolar | Val: 100.00
Id: 129 | Code: 4.02.2 | Name: 4.02.2 Implementación de las acciones | Val: 70.00
Id: 130 | Code: 4.02.3 | Name: 4.02.3 Acciones de mejora del clima escolar | Val: 50.00
Id: 131 | Code: 4.02.4 | Name: 4.02.4 Aplicación e informe de encuesta de clima | Val: 30.00
Id: 132 | Code: 4.03.1 | Name: 4.03.1 Índice de Satisfacción de los grupos de interés con el desempeño general del Centro Educativo por encima de 71 puntos | Val: 100.00
Id: 133 | Code: 4.03.2 | Name: 4.03.2 Índice de Satisfacción de los grupos de interés con el desempeño general del Centro Educativo entre 51 y 70 puntos | Val: 70.00
Id: 134 | Code: 4.03.3 | Name: 4.03.3 ndice de Satisfacción de los grupos de interés con el desempeño general del Centro Educativo entre 31 y 50 puntos | Val: 30.00
Id: 26 | Code: 5.01.1 | Name: 5.01.1 Acuerdo de Desempeño  Vinculado | Val: 100.00
Id: 25 | Code: 5.01.2 | Name: 5.01.2 Acuerdo de Desempeño No Vinculado | Val: 60.00
Id: 60 | Code: 5.02.1 | Name: 5.02.1 Más del 80% del Personal Docente en Aula | Val: 100.00
Id: 59 | Code: 5.02.2 | Name: 5.02.2 Entre el 50 y el 80% del Personal Docente en Aula | Val: 50.00
Id: 62 | Code: 5.03.1 | Name: 5.03.1 Más del 80% del Personal Docente en Función Administrativo - Pedagógica | Val: 100.00
